,C27,C29,C28,C7,C1,C5,C34,C39,C21,C15,C14,C3,C30,C49,C6,C40,C46,C11,C47,C8,C36,C35,C22,C38,C19,C13,C43,C31,C37,C2,C23,C4,C25,C26,C20
C27,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8333333333333334,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
C29,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8928571428571429,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
C28,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.9166666666666666,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.5,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
C7,0.0,0.0,0.75,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.75,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
C1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.9642857142857144,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
C5,0.0,-0.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.75,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
C34,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,-0.5,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
C39,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,-0.5,0,0.25,0.0,0.0,0.875,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
C21,0.0,0.0,0.0,-0.9166666666666666,0.0,0,0,0.0,0.0,0.0,0.0,0.9166666666666666,0,0.0,0.25,0.0,0.0,0,0.0,-0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.9166666666666666,0.0,0,0,0,0.0
C15,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-0.65,0,0.0,0.0,-0.75,0.0,0,0.0,1.0,-0.875,0.0,0.0,0.0,0,0.0,0.0,0,0.0,-0.8333333333333334,-0.5833333333333334,0,0,0,0.0
C14,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
C3,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
C30,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8333333333333334,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
C49,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
C6,0.0,0.0,0.0,0.0,0.25,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
C40,0.0,0.0,0.0,0.875,0.0,0,0,0.75,0.0,0.0,0.0,-0.375,0,0.5,0.75,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
C46,0.0,0.5625,0.0,0.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
C11,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.5625,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
C47,0.0,0.0,0.0,0.0,0.0,0,0,-1,0.0,0.0,0.0,0.0,0,0.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.75,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.5
C8,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,-0.5714285714285714,0.0,0,0,0,0.0
C36,0.0,0.0,0.75,-0.75,0.0,0,0,0.0,0.0,0.0,0.0,-0.4166666666666667,0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
C35,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-0.5,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
C22,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.9583333333333334,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.875,0,0,0,0.0
C38,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-0.75,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
C19,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,-0.25,0.0,0,0,0,1.0
C13,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.75,0.0,0,0.0,0.6875,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
